City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
256,asau,RO,46.43,26.4,60.01,98,5,3.74,clear sky
257,awbari,LY,26.59,12.78,90.3,13,99,10.71,overcast clouds
258,sur,OM,22.57,59.53,82.08,59,0,7.87,clear sky
259,boueni,YT,-12.9,45.08,78.8,78,70,6.93,broken clouds
260,brae,GB,60.4,-1.35,53.6,100,75,13.87,light rain
261,coihaique,CL,-45.58,-72.07,57.2,33,67,9.17,broken clouds
262,port hedland,AU,-20.32,118.57,68.0,19,37,9.17,scattered clouds
263,nome,US,64.5,-165.41,39.99,86,90,9.17,light rain
264,pedernales,DO,18.04,-71.74,82.4,78,75,18.34,broken clouds
265,zyryanka,RU,65.75,150.85,28.2,92,45,5.66,scattered clouds
266,sonoita,MX,31.85,-112.83,99.0,10,0,1.72,clear sky
267,novi pazar,RS,43.14,20.51,62.02,79,0,1.99,clear sky
268,linkoping,SE,58.41,15.62,59.0,93,100,11.41,overcast clouds
269,chagoda,RU,59.16,35.33,55.83,69,100,10.02,light rain
270,yima,CN,34.74,111.88,60.01,99,100,4.72,light rain
271,oxapampa,PE,-10.58,-75.4,66.42,62,74,3.6,broken clouds
272,udachnyy,RU,66.42,112.4,33.8,93,90,6.71,overcast clouds
273,grindavik,IS,63.84,-22.43,41.0,80,40,6.93,scattered clouds
274,airai,TL,-8.93,125.41,57.36,71,99,1.72,overcast clouds
275,pangnirtung,CA,66.15,-65.71,33.8,74,90,3.11,overcast clouds
276,avera,US,33.19,-82.53,70.0,49,1,8.05,clear sky
277,taltal,CL,-25.4,-70.48,65.21,53,23,9.91,few clouds
278,bengkulu,ID,-3.8,102.27,76.28,89,100,9.93,light rain
279,tromso,NO,69.65,18.96,42.8,81,0,33.33,clear sky
280,aykhal,RU,66.0,111.5,33.8,92,90,6.71,overcast clouds
281,wajir,KE,1.75,40.06,83.59,52,43,18.48,scattered clouds
282,karratha,AU,-20.74,116.85,62.92,28,6,18.95,clear sky
