City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
577,hirara,JP,80.02,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
582,katherine,AU,82.4,overcast clouds,-14.47,132.27,Pine Tree Motel
583,berbera,SO,85.15,clear sky,10.44,45.01,Damal Hotel
588,itarema,BR,83.01,clear sky,-2.92,-39.92,Windvillage
589,hit,IQ,81.36,clear sky,33.64,42.83,Aboody Alhachem
590,salalah,OM,77.0,scattered clouds,17.02,54.09,HAMDAN PLAZA HOTEL
591,chaozhou,CN,80.6,few clouds,23.67,116.64,Seven Corner View Homestay
593,tabora,TZ,78.8,clear sky,-5.02,32.8,Barcelona Lodge
594,tomigusuku,JP,78.8,few clouds,26.18,127.67,DoubleTree by Hilton Hotel Naha
595,pitimbu,BR,84.2,few clouds,-7.47,-34.81,Reserva do Abiaí
597,makaha,US,80.6,broken clouds,21.47,-158.22,Hawaiian Princess Resort
599,coruripe,BR,79.16,overcast clouds,-10.13,-36.18,Pousada e Hotel Litoral Sul
600,kimbe,PG,75.51,scattered clouds,-5.55,150.14,Kimbe Bay Hotel
601,yacuiba,BO,83.43,clear sky,-22.04,-63.68,Hotel Monumental
606,araouane,ML,87.26,light rain,18.9,-3.53,
608,praia,CV,80.6,scattered clouds,14.92,-23.51,LT Aparthotel
609,valle de allende,MX,77.38,clear sky,26.93,-105.4,Hotel Meson de San Bartolome
613,bikaner,IN,85.68,clear sky,28.02,73.3,The Laxmi Niwas Palace
614,kalmunai,LK,78.85,clear sky,7.42,81.82,VS Villa
618,pandan,PH,80.01,few clouds,14.05,124.17,Bonifacio Lodge
619,santa rosa,PH,81.0,few clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
621,beroroha,MG,75.54,scattered clouds,-21.67,45.17,
622,port blair,IN,80.35,light rain,11.67,92.75,Fortune Resort Bay Island
624,amuntai,ID,75.13,overcast clouds,-2.42,115.25,Hotel Balqis
625,sesheke,ZM,82.4,overcast clouds,-17.48,24.3,Protea Hotel by Marriott Zambezi River Lodge
626,angoche,MZ,75.07,clear sky,-16.23,39.91,Guest House HESADA
628,sao joao da barra,BR,78.8,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
629,bogovina,RS,77.0,clear sky,43.9,21.94,
630,kota kinabalu,MY,75.2,moderate rain,5.97,116.07,Gaya Centre Hotel
631,port hueneme,US,81.0,haze,34.15,-119.2,Hampton Inn Channel Islands Harbor
634,matamoros,MX,80.6,clear sky,25.53,-103.25,Recreativo Sabdy Briseidy
636,guanica,PR,84.0,overcast clouds,17.97,-66.91,Copamarina Beach Resort & Spa
639,anito,PH,77.95,light rain,12.45,125.29,The Yellow House
641,jacqueville,CI,80.6,scattered clouds,5.21,-4.41,Hotel Le Martin Pecheur
642,pyapon,MM,76.78,light rain,16.28,95.68,Aung Naing Thu Motel
644,lumeje,AO,80.55,clear sky,-11.55,20.78,
648,puerto escondido,MX,86.0,scattered clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
649,amahai,ID,76.93,overcast clouds,-3.33,128.92,Peternakan Ayam Bangkok Manisso
651,sarankhola,BD,78.8,broken clouds,22.31,89.79,ইসা ষ্টোর
652,hobyo,SO,79.45,clear sky,5.35,48.53,Osmani Hotel
654,pundaguitan,PH,83.97,light rain,6.37,126.17,Leonardo Family Beach House 1
658,abu kamal,SY,78.04,clear sky,34.45,40.92,محطة التلفاز
659,dzaoudzi,YT,78.8,scattered clouds,-12.79,45.27,Le Rocher
662,biak,ID,76.69,overcast clouds,-0.91,122.88,Kost Ariz
666,biltine,TD,84.16,broken clouds,14.53,20.92,Hôtel Trois Étoiles de Biltine
667,kloulklubed,PW,82.4,broken clouds,7.04,134.26,Storyboard Beach Resort
668,effingham,US,75.2,broken clouds,32.37,-81.33,Elizabeth Hobbs
669,lambarene,GA,75.52,moderate rain,-0.7,10.24,Le Refuge
671,marawi,PH,77.0,overcast clouds,8.0,124.29,Derogongan Residence
673,kavieng,PG,83.01,scattered clouds,-2.57,150.8,Nusa Island Retreat
678,valentin gomez farias,MX,78.44,clear sky,28.22,-106.58,
680,vila velha,BR,81.0,few clouds,-20.33,-40.29,Hotel Vitória Palace
682,balikpapan,ID,78.28,overcast clouds,-1.27,116.83,Grand Jatra Hotel Balikpapan
683,umm kaddadah,SD,84.97,overcast clouds,13.6,26.69,
684,tinalmud,PH,79.57,overcast clouds,13.59,122.88,
688,san ramon de la nueva oran,AR,75.99,clear sky,-23.13,-64.33,Hotel Residencial Centro
689,inirida,CO,88.41,light rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
690,tual,ID,79.48,overcast clouds,-5.67,132.75,Grand Vilia Hotel
694,lixourion,GR,78.8,scattered clouds,38.2,20.43,Summery Hotel
697,casas grandes,MX,82.0,clear sky,30.37,-107.95,PUEBLO DEL SOuL
701,moquegua,PE,81.07,few clouds,-17.2,-70.94,Residencial Moquegua
702,muisne,EC,82.4,broken clouds,0.6,-80.03,Quinta Samay
703,beeville,US,86.0,clear sky,28.4,-97.75,Holiday Inn Express & Suites Beeville
